Màximes ferides,Força,Màgia,Defensa,Velocitat,,,
3,2,0,4,2,,,
,,,,,,,
Nivell,Nom,Tipus,Atac Físic,Atac Màgic,Defensa,Velocitat,Efecte
,Espasa llarga,Atac físic,1d6,,,-2,Aturdeix: anul·la els atacs que el jugador atacat anés a fer aquest combat.
,Sacrifici,Defensa,,,,6,Tria un jugador. Rep tots els atacs que li farien aquest torn.
,Ràbia traumada,Focus,,,,-5,Força +1d8+4 per la resta del combat.
,Embestida,Atac físic,1d6,,,2,El jugador atacat té V-2 el següent torn. Tu tens V-3 el següent torn.
,Crit de guerra,Atac físic,1d4,,,1,Tots els aliats reben força +2 aquest torn.
,Formació defensiva,Focus,,,,-4,Tu i tots els aliats D+1d10 per la resta del combat.
