Màximes ferides,Força,Màgia,Defensa,Velocitat,,,
3,0,5,1,2,,,
,,,,,,,
Nivell,Nom,Tipus,Atac Físic,Atac Màgic,Defensa,Velocitat,Efecte
,Pantalla protectora,Defensa,,,1d8,1,Defensa a 2 jugadors que triïs.
,Bola de foc,Atac màgic,,1d6,,0,
,Raig de gel,Atac màgic,,1d4,,0,El jugador atacat té -2 de velocitat el següent torn.
,Trampa de gel,Focus,,,,-3,Tots els enemics reben V-8 els dos pròxims torns.
,Cadena de llamps,Atac màgic,,1d4-1,,-1,Afecta a 2 enemics que triïs.
,Camp de distorsió,Focus,,,,-5,Tots els jugadors aliats reben V+4 per la resta del combat.
